Entity,Code,Year,Transport (%),Electricity and heat production (%),Manufacturing industries & construction (%),Other sectors (%),Residential buildings & commercial and public services (%)
Czech Republic,CZE,1992,6.01001669449082,48.9072696919108,30.391561693732,3.08848080133556,11.6026711185309
Czech Republic,CZE,1993,6.17532971295578,50.6283941039566,25.6089992242048,6.17532971295578,11.4119472459271
Czech Republic,CZE,1994,6.96574225122349,53.0587275693312,22.3327895595432,6.13376835236542,11.5171288743883
Czech Republic,CZE,1995,5.88092147955873,55.9052563270603,21.4957819597664,4.63173264114212,12.0944192083063
Czech Republic,CZE,1996,8.08145594484086,57.2356289585505,20.3399342579973,1.61949811593041,12.7315000400866
Czech Republic,CZE,1997,8.4520804494748,57.6500284993079,20.1693673153652,1.86466900089569,11.8638547349564
Czech Republic,CZE,1998,9.12433726697452,57.8074226098854,19.8392337951086,1.82999828972122,11.3990080383102
Czech Republic,CZE,1999,10.6841101117471,57.2908149359499,18.0884891432725,2.63468701735259,11.3109839193241
Czech Republic,CZE,2000,9.78323580318141,57.4631171186022,19.8549410698096,2.58798318635127,10.3107228220556
Czech Republic,CZE,2001,10.5124185163792,57.9173199108837,18.4833732156118,1.74106774486344,11.3375691063619
Czech Republic,CZE,2002,11.3376556901553,58.5650912813513,17.4884831939942,1.73178638457601,10.8855144173349
Czech Republic,CZE,2003,12.4567474048443,57.2499588070522,17.0044488383589,1.57357060471247,11.7152743450321
Czech Republic,CZE,2004,12.994257588187,57.104183757178,17.0221493027071,1.23872026251025,11.6406890894176
Czech Republic,CZE,2005,14.4690190781698,57.1500928583488,17.0352861725477,1.35066689177781,9.99493499915583
Czech Republic,CZE,2006,14.6712628215907,56.8774171851354,16.6218261308223,1.32840087439045,10.5010929880612
Czech Republic,CZE,2007,15.1860100635156,60.1171327229234,14.9385465643818,1.22906871236493,8.52924193681432
Czech Republic,CZE,2008,15.750884154231,58.7337186233072,14.8796687656344,1.35426550504615,9.29008884671785
Czech Republic,CZE,2009,16.1609680080667,57.6679805665047,15.1342927857732,1.2833440278669,9.75341461178843
Czech Republic,CZE,2010,14.8869346733668,60.6066044508256,12.6525484565686,1.30114860014358,10.5527638190955
Czech Republic,CZE,2011,14.9067197971382,61.2298496649158,12.9867777576526,1.31316790436515,9.57254120630321
Czech Republic,CZE,2012,15.2266490016088,60.9633765496357,12.5768903189174,1.34380618907921,9.87035109302546
Czech Republic,CZE,2013,15.7556587921321,59.2072748838589,12.8298902836809,1.42334684194919,10.783829198379
Czech Republic,CZE,2014,17.027446918695,58.5914034179182,14.0238218539617,1.4396685655101,8.91765924391507
Democratic Republic of Congo,COD,1971,16.2790697674419,2.71317829457364,39.1472868217054,41.4728682170543,0
Democratic Republic of Congo,COD,1972,16.6666666666667,2.65151515151515,38.6363636363636,42.0454545454545,0
Democratic Republic of Congo,COD,1973,18.7022900763359,2.67175572519084,32.824427480916,45.0381679389313,0.763358778625954
Democratic Republic of Congo,COD,1974,20.0743494423792,2.97397769516729,31.9702602230483,44.6096654275093,0.371747211895911
Democratic Republic of Congo,COD,1975,21.7557251908397,2.67175572519084,31.6793893129771,43.5114503816794,0.381679389312977
Democratic Republic of Congo,COD,1976,19.7026022304833,5.57620817843866,33.457249070632,40.8921933085502,0.371747211895911
Democratic Republic of Congo,COD,1977,16.4285714285714,4.64285714285714,32.5,45.7142857142857,0.357142857142857
Democratic Republic of Congo,COD,1978,18.1818181818182,4.54545454545455,30.0699300699301,46.5034965034965,0.699300699300699
Democratic Republic of Congo,COD,1979,19.0625,5,24.0625,51.25,0.625
