angle	Normangle	Sxx	Syy	Szz	Sxy	Szx	Syz	Srr	Stt	Srt	S13D   S23D	S33D	S12D	S22D	Smises3D	Smises2D	Saverage3D	Saverage2D	I13D	I23D	I33D	I12D	I22D
54.000000	0.300000	64.845500	-30.544600	13.720300	15.180200	0.000000	0.000000	16.849097	17.451803	-50.051628	67.202985	13.720300	13.720300	67.202985	-32.902085	86.761367	88.373677	16.007067	17.150450	48.021200	-1740.499693	-30337.206841	34.300900	-2211.118331
55.800000	0.310000	59.904300	-27.074800	13.131800	16.787800	0.000000	0.000000	16.014081	16.815419	-46.615562	63.032034	13.131800	13.131800	63.032034	-30.202534	80.810218	82.395131	15.320433	16.414750	45.961300	-1472.616742	-24999.364457	32.829500	-1903.727170
57.600000	0.320000	55.882400	-23.131400	13.100400	18.078600	0.000000	0.000000	15.912286	16.838714	-43.444405	59.822375	13.100400	13.100400	59.822375	-27.071375	75.323430	77.013309	15.283800	16.375500	45.851400	-1190.422725	-21215.756211	32.751000	-1619.473925
59.400000	0.330000	52.282400	-19.317400	13.186000	19.170800	0.000000	0.000000	16.035267	16.929733	-40.607295	57.092258	13.186000	13.186000	57.092258	-24.127258	70.415369	72.243547	15.383667	16.482500	46.151000	-942.803116	-18163.446090	32.965000	-1377.479606
61.200000	0.340000	48.900500	-15.819600	13.232400	20.004300	0.000000	0.000000	16.091257	16.989643	-38.041334	54.584436	13.232400	13.232400	54.584436	-21.503536	65.977100	67.938362	15.437767	16.540450	46.313300	-736.018667	-15531.640233	33.080900	-1173.758368
63.000000	0.350000	46.085300	-12.135700	13.579900	20.680800	0.000000	0.000000	16.595196	17.354404	-35.706758	52.683576	13.579900	13.579900	52.683576	-18.733976	61.942517	64.136526	15.843167	16.974800	47.529500	-525.940691	-13402.992794	33.949600	-986.972864
64.800000	0.360000	42.891300	-9.383110	13.403300	21.033200	0.000000	0.000000	16.299973	17.208217	-33.546129	50.303297	13.403300	13.403300	50.303297	-16.795107	58.205453	60.476001	15.637163	16.754095	46.911490	-395.728965	-11323.768464	33.508190	-844.849288
66.600000	0.370000	40.092500	-6.454400	13.455200	21.228500	0.000000	0.000000	16.362188	17.275912	-31.497523	48.319886	13.455200	13.455200	48.319886	-14.681786	54.664646	57.094558	15.697767	16.819050	47.093300	-256.814881	-9545.418181	33.638100	-709.422244
68.399820	0.379999	36.935200	-4.340000	13.038100	21.055100	0.000000	0.000000	15.666830	16.928370	-29.475921	45.780269	13.038100	13.038100	45.780269	-13.185069	51.169401	53.603126	15.211100	16.297600	45.633300	-178.636527	-7870.005822	32.595200	-603.616004
70.199820	0.389999	33.801800	-2.372040	12.571900	20.642300	0.000000	0.000000	14.936738	16.493022	-27.434207	43.160120	12.571900	12.571900	43.160120	-11.730360	47.640340	50.066767	14.667220	15.714880	44.001660	-111.151971	-6364.948940	31.429760	-506.283771
