angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
54.000000    0.300000    88.883400    -25.600200    25.313300    21.878700    0.000000    0.000000    34.760791    28.522409    -61.201077    92.922112    25.313300    25.313300    92.922112    -29.638912    106.329445    110.756916    29.532167    31.641600    88.596500    -1152.203704    -69715.621026    63.283200    -2754.110330
55.800000    0.310000    81.280900    -27.533900    21.498800    23.804200    0.000000    0.000000    28.977386    24.769614    -59.349632    86.260410    21.498800    21.498800    86.260410    -32.513410    103.001470    106.313688    25.081933    26.873500    75.245800    -1649.124107    -60295.966824    53.747000    -2804.620110
57.600000    0.320000    73.680800    -29.210800    17.788000    25.463700    0.000000    0.000000    23.370688    21.099312    -57.391468    79.637703    17.788000    17.788000    79.637703    -35.167703    99.523801    101.880353    20.752667    22.235000    62.258000    -2009.642770    -49818.409218    44.470000    -2800.675130
59.400000    0.330000    66.049800    -30.738000    14.124700    26.772600    0.000000    0.000000    17.802969    17.508831    -55.305696    72.961792    14.124700    14.124700    72.961792    -37.649992    95.857678    97.406138    16.478833    17.655900    49.436500    -2248.242282    -38800.704339    35.311800    -2747.010863
61.200000    0.340000    58.156500    -32.290600    10.346300    27.727200    0.000000    0.000000    12.111809    13.754091    -53.040483    65.979789    10.346300    10.346300    65.979789    -40.113889    91.916223    92.785573    12.070733    12.932950    36.212200    -2379.089538    -27383.613240    25.865900    -2646.705899
63.000000    0.350000    50.702100    -33.306100    6.958400    28.331900    0.000000    0.000000    6.929598    10.466402    -50.635104    59.363975    6.958400    6.958400    59.363975    -41.967975    87.773283    88.186043    8.118133    8.698000    24.354400    -2370.337444    -17336.058745    17.396000    -2491.385770
64.800000    0.360000    42.711100    -34.721900    3.195680    28.522900    0.000000    0.000000    1.293046    6.696154    -48.012757    52.083301    3.195680    3.195680    52.083301    -44.094101    83.295905    83.387807    3.728293    3.994600    11.184880    -2271.035441    -7339.091209    7.989200    -2296.566368
66.600000    0.370000    35.507200    -35.366200    0.056372    28.344900    0.000000    0.000000    -3.525048    3.666048    -45.235662    45.448833    0.056372    0.056372    45.448833    -45.307833    78.597579    78.597609    0.065791    0.070500    0.197372    -2059.180144    -116.080139    0.141000    -2059.188093
68.399820    0.379999    28.016200    -36.349000    -3.333100    27.769600    0.000000    0.000000    -8.616641    0.283841    -42.273701    38.340899    -3.333100    -3.333100    38.340899    -46.673699    73.629516    73.742594    -3.888633    -4.166400    -11.665900    -1761.737482    5964.620907    -8.332800    -1789.511538
70.199820    0.389999    21.095300    -36.970900    -6.350260    26.841000    0.000000    0.000000    -13.198844    -2.676756    -39.187773    31.601550    -6.350260    -6.350260    31.601550    -47.477150    68.502561    68.942652    -7.408620    -7.937800    -22.225860    -1399.537320    9527.622166    -15.875600    -1500.351508
71.999820    0.399999    14.706300    -37.362400    -9.062450    25.631600    0.000000    0.000000    -17.324179    -5.331921    -36.039045    25.206404    -9.062450    -9.062450    25.206404    -47.862504    63.320075    64.285485    -10.572850    -11.328050    -31.718550    -1001.121808    10933.316512    -22.656100    -1206.441582
73.799820    0.409999    8.614510    -37.576500    -11.584800    24.076100    0.000000    0.000000    -21.080350    -7.881640    -32.703355    18.881573    -11.584800    -11.584800    18.881573    -47.843563    57.858195    59.572494    -13.515597    -14.480995    -40.546790    -567.842864    10465.264926    -28.961990    -903.361726
75.599820    0.419999    3.510020    -37.321700    -13.524700    22.179700    0.000000    0.000000    -24.111059    -9.700621    -29.271680    13.239581    -13.524700    -13.524700    13.239581    -47.051261    52.322762    54.882117    -15.778793    -16.905840    -47.336380    -165.646177    8425.063168    -33.811680    -622.939006
